GEOID,totalPop,totalPop_moe,raceTotal,raceTotal_moe,black,black_moe,black_prop,medianInc,medianInc_moe,ownTotal,ownTotal_moe,ownOcc,ownOcc_moe,ownOcc_prop,pvtyTotal,pvtyTotal_moe,pvty,pvty_moe,pvty_prop,emplyTotal,emplyTotal_moe,unemply,unemply_moe,unemply_prop
29510119102,3203,319,3203,319,611,193,0.19075866375273182,47736,6068,2903,327,835,172,0.2876334826042026,3048,316,858,259,0.281496062992126,3124,299,1181,245,0.3780409731113957
29510119200,2019,294,2019,294,1302,276,0.6448736998514116,49219,15669,1990,291,1194,213,0.6,1997,291,402,151,0.2013019529293941,1811,263,726,157,0.4008834897846494
29510119300,4119,348,4119,348,1217,207,0.29546006312211703,22056,3758,2299,303,119,115,0.05176163549369291,2470,309,972,238,0.39352226720647776,3936,341,2238,266,0.5685975609756098
29510120200,1439,267,1439,267,1178,252,0.8186240444753301,19688,12706,1371,267,322,123,0.2348650619985412,1371,267,703,314,0.512764405543399,1030,177,489,135,0.4747572815533981
29510121100,1918,372,1918,372,1668,367,0.8696558915537018,17690,4823,1626,357,193,313,0.11869618696186962,1740,362,787,293,0.45229885057471264,1666,271,919,286,0.5516206482593037
29510121200,2254,392,2254,392,2106,392,0.9343389529724934,12454,2857,2254,392,449,297,0.19920141969831412,2254,392,1241,345,0.5505767524401065,1375,206,654,124,0.47563636363636363
29510123100,3399,419,3399,419,2117,442,0.6228302441894675,48750,7259,3357,418,1796,375,0.535001489425082,3369,419,608,188,0.180468981893737,2749,274,787,148,0.28628592215351034
29510123200,2629,213,2629,213,731,186,0.27805249144161276,58080,8811,2629,213,1220,189,0.46405477367820464,2629,213,374,111,0.14225941422594143,2290,190,598,114,0.2611353711790393
29510123300,2931,254,2931,254,889,228,0.30330945069942,53381,12271,2931,254,1358,233,0.46332309791879905,2875,259,353,166,0.12278260869565218,2447,207,391,106,0.15978749489170413
29510124100,4997,907,4997,907,3157,911,0.6317790674404643,25725,7715,4967,907,1445,512,0.29092007247835716,4967,907,1822,776,0.3668210187235756,3584,545,1356,339,0.3783482142857143
29510124200,3658,491,3658,491,2244,408,0.6134499726626572,29250,13575,3589,494,1088,318,0.30314850933407633,3580,481,1430,442,0.3994413407821229,2429,276,674,181,0.27748044462741867
29510124300,3003,281,3003,281,675,170,0.22477522477522477,62500,16175,2963,282,1830,317,0.6176172797840027,3003,281,444,153,0.14785214785214784,2751,240,682,167,0.24790985096328608
29510124600,1876,236,1876,236,1192,203,0.6353944562899787,20329,5640,1866,236,550,160,0.2947481243301179,1871,236,1051,228,0.5617316942811331,1306,163,521,123,0.3989280245022971
29510125500,3344,356,3344,356,965,270,0.28857655502392343,57579,8402,3266,353,551,157,0.16870789957134108,3266,353,394,155,0.12063686466625842,3159,305,543,121,0.17188983855650522
29510125600,4733,639,4733,639,2118,646,0.44749630255651807,58786,11789,4076,599,410,144,0.10058881256133465,4088,600,563,349,0.137720156555773,4323,499,1101,260,0.2546842470506593
29510125700,3793,388,3793,388,3772,380,0.9944634853677827,13200,3368,3793,388,62,59,0.01634590034273662,3793,388,2230,569,0.5879251252306881,2481,279,1125,242,0.4534461910519952
29510126600,3351,394,3351,394,2636,358,0.786630856460758,23136,5879,2841,366,1012,320,0.3562126011967617,2968,371,1156,332,0.3894878706199461,2476,318,1075,233,0.4341680129240711
29510126700,1089,225,1089,225,775,202,0.711662075298439,22880,11486,1089,225,582,208,0.5344352617079889,1089,225,465,169,0.42699724517906334,925,189,380,112,0.41081081081081083
29510126800,3515,264,3515,264,200,104,0.05689900426742532,51759,4657,3515,264,2343,243,0.6665718349928876,3515,264,291,127,0.08278805120910385,3144,241,744,156,0.2366412213740458
29510126900,4462,710,4462,710,4338,706,0.9722097714029583,27287,6826,4133,688,2711,741,0.6559399951609001,4315,707,1761,781,0.40811123986095016,3387,351,1451,235,0.42840271626808385
29510127000,1826,218,1826,218,1422,217,0.778751369112815,24273,8375,1060,169,396,118,0.37358490566037733,1060,169,389,148,0.36698113207547167,1619,189,1101,188,0.6800494132180358
29510127100,1735,271,1735,271,1648,257,0.9498559077809798,17899,3390,1667,273,528,133,0.3167366526694661,1667,273,889,236,0.5332933413317337,1394,202,837,152,0.6004304160688666
29510127200,4332,634,4332,634,981,630,0.22645429362880887,40679,3181,4111,587,2148,385,0.5225006081245439,4332,634,658,260,0.15189289012003693,3747,535,999,289,0.266613290632506
29510127300,3781,375,3781,375,2249,345,0.5948161861941286,39297,10217,3589,367,1712,381,0.4770130955697966,3628,371,1000,332,0.2756339581036384,2963,275,1077,158,0.36348295646304424
29510127400,5465,630,5465,630,4055,666,0.74199451052150045,26667,10372,5465,630,1362,550,0.24922232387923146,5465,630,1880,551,0.34400731930466605,3866,411,1127,328,0.2915157785825142
29510127500,2250,352,2250,352,1754,345,0.7795555555555556,29727,3689,2216,358,174,92,0.07851985559566788,2246,352,429,239,0.19100623330365094,1842,172,603,105,0.3273615635179153
29510127600,2930,308,2930,308,650,310,0.22184300341296928,56094,12011,2907,310,965,208,0.3319573443412453,2930,308,327,137,0.11160409556313994,2733,289,555,153,0.2030735455543359
